HackerNews
What will enter the public domain in 2026?
publicdomainreview.org
Apple Releases Open Weights Video Model
starflow-v.github.io
Rootless Pings in Rust
bou.ke
Beej's Guide to Learning Computer Science
beej.us
DeepSeek-v3.2: Pushing the frontier of open large language models [pdf]
huggingface.co
